Date	DOY	Tmax	Tmin	RHmean	WindSpeed	SolarRad
1/1/1999	1	2.364	-4.954	90.7	1.892	4.2780
1/2/1999	2	2.602	-7.17	93.5	0.539	5.8391
1/3/1999	3	0.857	-8.36	92.4	0.553	5.7571
1/4/1999	4	1.383	-5.706	90.6	0.522	1.9554
1/5/1999	5	4.894	-2.32	91.9	0.533	2.8816
1/6/1999	6	3.866	-0.646	91.2	1.101	1.9305
1/7/1999	7	2.309	-0.361	96.1	2.909	1.9369
1/8/1999	8	1.688	-3.699	96.2	1.148	2.8011
1/9/1999	9	0.685	-1.421	102.5	0.533	0.6321
1/10/1999	10	2.558	-0.608	103.8	0.562	1.3486
1/11/1999	11	4.93	-1.932	95.7	0.721	2.7689
1/12/1999	12	3.181	-3.661	98.3	1.254	1.5440
1/13/1999	13	5.424	-1.287	92.8	0.961	5.0311
1/14/1999	14	6.709	0.422	96.2	1.823	0.8080
1/15/1999	15	4.37	-0.694	86.6	3.365	3.7351
1/16/1999	16	2.973	-0.192	82	4.425	3.2487
1/17/1999	17	2.102	-1.573	89.8	1.798	2.9189
1/18/1999	18	3.652	-1.875	101.4	0.459	2.0975
1/19/1999	19	4.55	-2.027	95.9	0.493	2.9862
1/20/1999	20	2.767	-0.9	101.5	0.746	1.7897
1/21/1999	21	1.696	-0.333	99.1	1.894	1.2221
1/22/1999	22	2.234	-2.036	95.9	1.572	2.7718
1/23/1999	23	0.515	-9.9	100.9	3.027	2.0488
1/24/1999	24	0.215	-15.18	94	0.517	4.4281
1/25/1999	25	-0.09	-9.8	92.8	0.753	8.1141
1/26/1999	26	-3.5	-11.13	98.5	1.924	1.5727
1/27/1999	27	-0.466	-6.783	94.7	0.513	3.7864
1/28/1999	28	2.976	-3.117	71.9	2.105	3.3653
1/29/1999	29	6.681	-3.269	64.62	1.324	8.6277
1/30/1999	30	7.52	-2.281	58.59	0.801	5.3598
1/31/1999	31	4.509	-2.008	66.79	3.081	3.1450
2/1/1999	32	2.095	-2.501	70.3	4.606	5.5235
2/2/1999	33	5.406	-1.744	89.6	5.429	1.4503
2/3/1999	34	2.394	-4.624	71.3	2.315	4.8457
2/4/1999	35	5.377	-3.443	76.1	3.601	7.1376
2/5/1999	36	4.617	-6.561	76.2	1.736	8.1991
2/6/1999	37	5.184	-0.173	90.7	2.14	1.4510
2/7/1999	38	5.493	-0.807	77.2	4.717	5.9081
2/8/1999	39	1.601	-6.539	72.6	2.379	5.3650
2/9/1999	40	-1.328	-6.442	95	1.895	0.8665
2/10/1999	41	-1.864	-10.02	90.9	2.32	4.2714
2/11/1999	42	-0.739	-10.71	77.2	1.399	10.1399
2/12/1999	43	2.063	-6.942	66.2	1.042	6.3268
2/13/1999	44	6.459	-2.622	65.61	0.782	5.1930
2/14/1999	45	2.99	-1.826	96.9	1.482	5.9344
2/15/1999	46	4.571	-1.628	81.5	1.285	9.0568
2/16/1999	47	6.701	-0.655	88.7	0.763	5.5980
2/17/1999	48	3.954	-0.44	86.8	3.434	9.0765
2/18/1999	49	1.874	-2.787	94.1	1.703	3.7293
2/19/1999	50	4.048	-4.178	89.6	4.303	9.6050
2/20/1999	51	5.45	-5.801	75.4	1.784	10.1386
2/21/1999	52	5.423	-4.6	81.3	1.979	5.9024
2/22/1999	53	2.243	-5.753	98	1.292	3.5414
2/23/1999	54	3.152	-0.135	101.3	1.919	3.1926
2/24/1999	55	7.44	1.688	95.4	1.203	2.1609
2/25/1999	56	4.043	0.28	96.8	1.747	3.8397
2/26/1999	57	4.747	-4.169	81.9	2.81	9.5843
2/27/1999	58	1.819	-3.226	98.3	1.692	2.1455
2/28/1999	59	7.87	1.075	93.7	1.137	6.5802
3/1/1999	60	4.522	-3.405	84.9	2.788	10.2179
3/2/1999	61	4.995	-5.147	72.9	2.009	7.7718
3/3/1999	62	5.046	-2.451	74.6	3.834	6.7541
3/4/1999	63	0.195	-2.625	87.9	3.812	8.2569
3/5/1999	64	5.408	-8.81	81.4	1.029	13.0237
3/6/1999	65	5.056	-8.36	69.11	0.96	14.3940
3/7/1999	66	3.318	-8.39	77.4	1.835	15.9891
3/8/1999	67	5.446	-5.667	73.4	1.389	9.2644
3/9/1999	68	3.928	-4.237	84.4	2.074	7.4116
3/10/1999	69	8.4	-7.74	75	0.654	14.0655
3/11/1999	70	6.795	-7	73.8	0.976	13.0591
3/12/1999	71	7.17	-6.084	72.2	0.992	10.9474
3/13/1999	72	11.68	0.618	72.7	1.186	9.4830
3/14/1999	73	14.31	0.043	73.9	1.217	12.7218
3/15/1999	74	11.2	-2.91	77	1.896	15.6383
3/16/1999	75	4.373	-3.987	78.6	4.802	15.4436
3/17/1999	76	7.05	-3.443	66.39	1.667	10.3410
3/18/1999	77	13.45	-0.957	65.59	0.726	10.0013
3/19/1999	78	19.23	-1.131	58.65	0.714	17.9943
3/20/1999	79	22.57	-0.195	46.39	0.96	17.5694
3/21/1999	80	10.12	0.866	80	3.02	8.6544
3/22/1999	81	13.49	-0.835	77.5	1.411	18.1648
3/23/1999	82	14.94	-0.618	73	1.09	15.8964
3/24/1999	83	16.07	0.553	63.9	1.341	9.5312
3/25/1999	84	15.49	2.377	82.1	1.994	10.5099
3/26/1999	85	5.553	-1.089	78.2	5.277	12.2413
3/27/1999	86	3.56	-5.28	77.3	5.096	8.9946
3/28/1999	87	6.129	-5.901	77.8	1.645	8.6381
3/29/1999	88	2.072	-0.712	100.6	1.39	2.1842
3/30/1999	89	3.762	-5.394	95.7	1.301	7.9337
3/31/1999	90	6.098	-5.9	70.9	2.067	14.2797
4/1/1999	91	8.65	-3.187	47.23	2.05	21.4000
4/2/1999	92	9.49	-4.572	42.13	1.755	21.7819
4/3/1999	93	3.809	-2.444	81.7	3.113	13.9643
4/4/1999	94	2.386	-1.166	96.9	1.587	5.2337
4/5/1999	95	6.599	-3.002	78.2	1.116	11.6131
4/6/1999	96	8.29	-4.158	75.7	1.423	13.8780
4/7/1999	97	14.25	-3.976	63.94	1.745	22.1505
4/8/1999	98	6.763	-0.966	93.6	2.133	8.5544
4/9/1999	99	4.339	-4.272	83	3.573	14.0651
4/10/1999	100	7.83	-5.63	65.77	1.877	21.2348
4/11/1999	101	13.96	-4.294	56.89	0.926	23.2067
4/12/1999	102	13.2	-2.817	65.88	2.582	10.8992
4/13/1999	103	10.37	0.563	56.91	4.489	18.8897
4/14/1999	104	11.11	-2.557	32.97	2.245	23.8145
4/15/1999	105	15.93	-4.85	39.47	1.048	24.3402
4/16/1999	106	20.75	-3.224	38.95	1.332	24.5916
4/17/1999	107	21.93	0.302	43.05	1.306	21.8679
4/18/1999	108	21.99	3.559	63.27	1.688	15.4036
4/19/1999	109	14.04	6.656	83.3	2.483	9.9632
4/20/1999	110	9.56	0.186	73	4.139	15.4579
4/21/1999	111	8.99	-3.861	63.61	1.755	14.2301
4/22/1999	112	15.24	1.507	59.64	3.054	19.8771
4/23/1999	113	20	2.519	39.06	3.06	24.9400
4/24/1999	114	23.4	0.939	47.51	1.11	25.2583
4/25/1999	115	19.03	1.525	63.51	2.771	18.9755
4/26/1999	116	10.32	2.599	57.21	3.713	14.4683
4/27/1999	117	10.23	-0.985	52.64	2.301	17.7941
4/28/1999	118	6.211	1.981	74.9	3.558	6.4609
4/29/1999	119	12.1	3.209	61.31	3.588	6.8476
4/30/1999	120	17.67	-1.394	66.53	1.052	23.6000
5/1/1999	121	11.16	1.989	78.8	3.596	6.8693
5/2/1999	122	6.605	2.19	89.9	1.833	9.1721
5/3/1999	123	8.62	2.443	85.2	3.568	15.0239
5/4/1999	124	5.905	-1.864	77.8	4.604	15.4173
5/5/1999	125	11.22	-1.064	61.87	1.666	18.7458
5/6/1999	126	21.42	-0.676	51.81	3.559	26.2512
5/7/1999	127	8.75	-2.815	57.51	4.528	23.6652
5/8/1999	128	7.63	-3.632	66.19	2.898	15.7576
5/9/1999	129	6.817	-3.633	86.4	2.2	15.0087
5/10/1999	130	11.29	-3.91	68.61	1.174	17.1366
5/11/1999	131	16.22	-4.044	64.4	2.009	25.6145
5/12/1999	132	11.94	4.305	69.24	4.488	20.3239
5/13/1999	133	9.6	0.99	62.46	2.734	18.6465
5/14/1999	134	12.23	-1.393	60.94	1.637	17.5010
5/15/1999	135	13.15	-1.811	59.19	3.159	22.3461
5/16/1999	136	16.93	-2.189	54.92	1.167	24.4365
5/17/1999	137	12.77	6.561	78.1	1.23	9.0726
5/18/1999	138	15.53	5.525	77.7	2.048	17.9877
5/19/1999	139	16.92	4.914	60.29	1.943	25.5558
5/20/1999	140	16.33	2.169	77.3	1.183	14.1147
5/21/1999	141	16.57	2.262	62.58	3.019	28.4362
5/22/1999	142	21.14	1.147	55.36	1.358	28.3866
5/23/1999	143	27.3	3.741	50.21	1.236	28.9099
5/24/1999	144	28.14	7.91	52.53	1.416	28.7148
5/25/1999	145	21.24	8.72	46.74	3.867	27.7945
5/26/1999	146	20.77	2.482	44.34	1.533	29.7585
5/27/1999	147	24.37	1.901	48.31	1.49	28.2510
5/28/1999	148	21.64	7.21	38.67	3.03	27.7051
5/29/1999	149	19.97	5.429	35.17	3.451	28.3196
5/30/1999	150	18.87	4.799	56.03	1.956	18.4258
5/31/1999	151	15.96	1.819	85.6	2.29	11.2216
6/1/1999	152	15.01	7.45	61.96	3.226	22.1400
6/2/1999	153	8.3	5.068	96.2	2.297	4.7752
6/3/1999	154	10.11	4.838	97.9	1.308	5.9977
6/4/1999	155	20.32	1.83	73.3	1.554	24.0988
6/5/1999	156	18.22	6.55	65.58	3.956	14.5520
6/6/1999	157	12.81	-0.608	60.4	2.854	22.1142
6/7/1999	158	14.67	-2.16	58.31	1.931	26.4008
6/8/1999	159	8.86	0.09	90.4	1.798	8.1777
6/9/1999	160	16.73	-1.518	72.4	0.947	25.2178
6/10/1999	161	19.07	0.166	60.75	1.366	27.4565
6/11/1999	162	21.02	2.471	51.09	1.42	29.6832
6/12/1999	163	28.04	3.4	46.23	0.888	29.7820
