"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V59"	"V60"	"V61"	"V62"	"V63"	"V64"	"V65"	"V66"	"V67"	"V68"	"V69"	"V70"	"V71"	"V72"	"V73"	"V74"	"V75"	"V76"	"V77"	"V78"	"V79"	"V80"	"V81"	"V82"	"V83"	"V84"	"V85"	"V86"	"V87"	"V88"	"V89"	"V90"	"V91"	"V92"	"V93"	"V94"	"V95"	"V96"	"V97"	"V98"	"V99"	"V100"	"V101"	"V102"	"V103"	"V104"	"V105"	"V106"	"V107"	"V108"	"V109"	"V110"	"V111"	"V112"	"V113"	"V114"	"V115"
3631.04	3633.03	3635.83	3638.21	3639.91	3642.48	3646.87	3651.37	3655.38	3659.13	3663.63	3669.74	3676.15	3681.25	3686.46	3694.7	3700.32	3701.21	3699.85	3699.11	3699.41	3699.77	3699.85	3699.72	3700.8	3704.17	3708.48	3713.08	3718.28	3724.53	3732.54	3738.83	3740.51	3741.36	3742.05	3744.18	3748.55	3752.91	3758.17	3758.6	3760.46	3764.23	3769.85	3774.84	3778.8	3782.86	3788.81	3794.08	3797.67	3799.66	3800.87	3801.88	3803.89	3807.12	3807.17	3802.35	3798.76	3798.21	3796.66	3795.35	3792.98	3789.86	3792.05	3795.79	3795.9	3799.42	3800.44	3801.86	3803.86	3803.39	3800.61	3795.72	3788.9	3781.49	3776.71	3775.09	3775.46	3776.12	3777.06	3777.63	3778.2	3778.75	3779.21	3779.71	3779.85	3780.41	3782.77	3786.38	3789.57	3792.25	3795.92	3800.15	3807.66	3818.53	3828.44	3839.32	3852.55	3864.62	3872.73	3879.15	3888.06	3895.17	3902.94	3912.09	3918.34	3924.2	3928.5	3936.61	3949.69	3963.79	3974.78	3986.3	4000.85	4013.26	4020.02
3627.69	3630.52	3635.59	3639.81	3641.95	3644.3	3648.27	3653.04	3657.62	3661.62	3666.61	3672.98	3679.69	3685.57	3690.68	3698.38	3703.56	3704.54	3702.38	3701.17	3701.13	3701.44	3701.36	3701.82	3702.96	3705.35	3709.09	3715.54	3724.02	3732.59	3740.42	3745.52	3747.16	3749.03	3750.22	3751.08	3753.44	3757.07	3759.89	3762.4	3766.58	3771.04	3775.46	3779.94	3785.04	3790.15	3796.05	3800.88	3805.63	3808.72	3811.43	3814.17	3816.15	3817.39	3814.44	3806.74	3801.22	3798.82	3797.17	3796.35	3796.1	3798.22	3809.15	3817.93	3812.14	3810.29	3809.61	3809.94	3812.19	3812.18	3809.68	3805.37	3799.79	3791.28	3781.8	3775.99	3774.57	3775.1	3776.01	3776.57	3777.32	3778.12	3778.82	3779.54	3779.92	3781.34	3783.51	3786.55	3789.38	3791.85	3795.36	3799.34	3807.14	3819.02	3830.55	3841.95	3852.56	3861.53	3868.62	3874.37	3882.06	3889.15	3896.64	3905.48	3912.53	3918.98	3925.18	3933.82	3947.39	3961.56	3971.05	3981.06	3994.8	4007.91	4018.13
3622.92	3626.51	3634.9	3641.45	3643.57	3644.96	3648.24	3654.05	3659.93	3663.18	3668.73	3675.67	3683.15	3688.75	3694.71	3702.35	3707.83	3709.8	3707.97	3706.31	3705.36	3704.7	3704.29	3704.91	3705.75	3706.85	3711.45	3722.34	3733.91	3743.09	3749.04	3753.86	3756.96	3759.06	3759.62	3759.91	3761.55	3764.4	3766.32	3770.8	3775.71	3780.11	3784.54	3789.62	3795.43	3802.35	3808.31	3812.26	3817.6	3821.66	3824.07	3826.13	3826.54	3823.67	3817.37	3810.9	3805.9	3802.17	3800.56	3800.91	3803.7	3810.63	3822.97	3831.22	3826.56	3822.79	3820.51	3820.21	3821.84	3821.19	3818.32	3814.56	3807.01	3801.45	3792.29	3782.77	3777.99	3776.2	3775.41	3775.29	3776.42	3777.61	3778.59	3779.46	3780.18	3782.33	3784.38	3787.09	3789.59	3791.7	3797.9	3798.64	3805.91	3818.55	3831.54	3843.35	3851.81	3858.47	3865.13	3870.76	3876.6	3883.32	3890.42	3898.75	3906.69	3914.37	3923.05	3931.68	3943.42	3955.73	3965.03	3974.35	3986.23	3999.36	4012.71
3619.6	3623.32	3633.06	3640.71	3643.09	3643.44	3644.67	3650.24	3657.98	3663.52	3669.98	3677.89	3685.99	3691.83	3698.89	3707.18	3713.81	3716.67	3714.94	3712.5	3709.99	3707.8	3707.12	3708.22	3709.52	3711.87	3720.57	3735.72	3746.75	3752.34	3756.78	3760.71	3764.19	3765.89	3767.52	3770.16	3772.83	3774.3	3775.38	3779.44	3785.42	3789.91	3794.92	3800.32	3806.48	3814.83	3821.95	3825.54	3829.5	3832.52	3834.05	3835.05	3835.16	3830.51	3821.89	3816.23	3811.59	3807.65	3806.63	3808.39	3812.72	3819.51	3827.17	3832.64	3833.73	3833.3	3832.45	3832.42	3832.68	3828.93	3822.52	3818.48	3810.36	3807.58	3802.97	3795.61	3788.46	3781.76	3775.66	3774.23	3775.82	3777.35	3778.52	3779.43	3780.4	3783.22	3785.32	3787.88	3790.18	3792.14	3798.04	3798.89	3805.25	3816.53	3829.54	3841.2	3849.5	3855.56	3861.73	3867.24	3871.87	3877.83	3884.35	3892.2	3901.46	3911.18	3921.37	3928.75	3937.21	3946.88	3957.18	3966.31	3977.79	3990.37	4004.75
3619.49	3622.48	3629.86	3636.46	3639.63	3640.27	3640.11	3645.28	3655.41	3664.01	3671.25	3679.99	3689.16	3696.24	3703.8	3711.6	3718.67	3722.23	3720.87	3718.48	3715.16	3712.22	3712.02	3713.67	3715.44	3719.96	3731.24	3746.96	3754.91	3759.14	3763.04	3765.92	3769.06	3770.8	3774.46	3780.72	3784.8	3785.4	3785.65	3789.08	3794.38	3798.66	3803.89	3809.71	3815.25	3823.05	3831.3	3837.41	3840.33	3841.37	3842.15	3842.61	3842.64	3838.2	3829.91	3824.03	3819.12	3814.84	3813.92	3816.47	3821.12	3825.96	3830.05	3835.13	3840.74	3844.78	3846.8	3848.72	3850.68	3848.69	3836.1	3826.8	3818.1	3812.48	3810.3	3806.49	3801.18	3793.6	3783.16	3777.68	3776.9	3777.83	3778.83	3779.56	3780.95	3782.9	3787.55	3790.51	3793.25	3795.84	3798.14	3799.52	3805.09	3814.2	3824.86	3834.84	3844.1	3850.67	3856.65	3862.31	3867.11	3872.34	3878.01	3885.49	3895.09	3906.15	3917.29	3924.17	3931.33	3938	3947.2	3957.7	3968.63	3981.06	3996.26
3619.72	3621.56	3626.01	3630.65	3634.13	3636.91	3638.94	3644.7	3654.87	3664.36	3672.23	3682.43	3693.51	3702.31	3708.87	3715.77	3722.14	3725.67	3725.74	3724.99	3723.75	3723.88	3724.4	3724.09	3724.28	3729.2	3738.64	3751.32	3759.46	3763.77	3767.87	3771.17	3774.67	3778.09	3785.18	3792.27	3795.46	3795.79	3796.23	3799.66	3803.29	3806.74	3811.8	3818.73	3824.42	3830.76	3836.85	3844.24	3848.56	3849.12	3849.07	3848.18	3845.85	3840.56	3835.27	3832.74	3830.28	3826.42	3824.12	3825.21	3829.62	3834.09	3837.67	3843.66	3849.31	3855.72	3859.68	3862.02	3864.15	3863.52	3851.71	3841.24	3830.08	3820.45	3816	3812.48	3809.59	3804.63	3795.9	3786.04	3780.76	3779.8	3779.78	3780.19	3782.17	3784.4	3789.14	3791.77	3794.21	3796.52	3798.56	3800.13	3804.83	3811.56	3819.67	3827.85	3837.23	3844.5	3850.52	3856.15	3861.83	3866.75	3871.68	3878.35	3887.8	3899.45	3911.38	3918.89	3924.7	3930.41	3937.65	3947.93	3960.4	3971.06	3986.34
3619.57	3620.19	3622.16	3624.33	3629.68	3634.47	3639.58	3645.81	3655.25	3664.55	3673.03	3684.99	3697.32	3707.22	3712.43	3719.27	3725.17	3728.72	3729.53	3731.33	3733.8	3738.48	3740.45	3736.5	3734.22	3739.12	3746.88	3756.92	3764.26	3768.4	3772.96	3777.98	3782.74	3788.93	3797.02	3803.02	3804.77	3804.84	3806.12	3809.24	3812.13	3815.58	3822.62	3831.4	3837.17	3841.49	3845.04	3851.24	3855.6	3855.25	3854.06	3851.84	3848.29	3843.92	3841.06	3841.14	3841.59	3838.33	3833.06	3832.04	3835.6	3841.29	3848.36	3856.77	3860.57	3866.05	3869.93	3869.41	3866.94	3860.7	3850.94	3842.28	3833.11	3824.14	3817.96	3814.17	3811.55	3807.45	3799.95	3792.16	3786.81	3784.67	3783.54	3783.18	3784.71	3786.56	3791.06	3793.23	3795.28	3797.27	3798.97	3800.66	3804.74	3810.16	3816.48	3823.09	3830.9	3838.43	3844.86	3850.24	3855.75	3861.03	3865.8	3872.27	3880.06	3890.95	3905.21	3914.94	3919.05	3923.76	3931.94	3940.8	3951.15	3964.81	3978.16
3619.23	3618.78	3618.64	3619.87	3627.58	3635.48	3641.96	3647.13	3655.95	3664.66	3673.27	3685.97	3698.62	3709.34	3715.14	3722.67	3728.69	3733.27	3735.62	3737.92	3740.18	3743.33	3745.35	3741.17	3739.22	3745.33	3753.72	3761.53	3767.51	3772.49	3777.76	3784.16	3791.46	3798.27	3804.4	3808.01	3809.63	3811.24	3814.68	3818.79	3822.72	3827.18	3836.3	3844.25	3849	3852.12	3855.19	3859.75	3862.14	3861.14	3859.78	3857.68	3854.3	3849.95	3846.76	3846.08	3845.84	3842.26	3837.08	3836.85	3840.83	3845.59	3853.04	3863.02	3871.2	3877.35	3877.89	3872.45	3865.87	3857.73	3848.96	3839.04	3829.87	3822.25	3816.74	3813.68	3810.69	3805.73	3799.86	3796.08	3792.95	3790.97	3789.47	3788.36	3788.58	3789.29	3793.21	3794.8	3796.39	3797.99	3799.17	3801.12	3805.07	3810.29	3815.73	3821.28	3827.09	3833.79	3840.03	3845.51	3850.83	3856.34	3862.03	3867.24	3873.16	3883.1	3895.83	3907.95	3914.23	3919.21	3926.72	3935.37	3945.11	3958.25	3972.96
3618.92	3617.88	3617.55	3621.59	3631.41	3640.14	3645.72	3647.97	3655.67	3663.11	3672.96	3685.69	3698.19	3709.55	3717.57	3726.98	3733.38	3738.18	3740.53	3741.79	3742.76	3743.66	3744.5	3742.53	3743.4	3750.81	3759.24	3765.17	3770.39	3776.35	3782.84	3791.28	3798.16	3804.65	3808.71	3810.9	3813.3	3818.3	3824.67	3829.65	3833.2	3837.49	3845	3853.07	3857.4	3859.98	3861.94	3864.48	3865.57	3864.76	3864.06	3863.29	3860.8	3855.93	3851.16	3848.29	3847.08	3843.59	3840.88	3843.02	3847.73	3850.62	3855.79	3865.47	3876.85	3883.33	3881.83	3873.23	3863.49	3854.88	3848.42	3838.38	3828.17	3820.5	3815.82	3813.43	3808.91	3804.37	3800.15	3797.85	3797.05	3796.33	3794.67	3793.03	3792.41	3791.91	3793.68	3794.74	3795.79	3797.23	3799.35	3801.47	3806.06	3811.6	3815.27	3820.33	3824.49	3830.24	3836.07	3841.76	3847.37	3852.5	3858.85	3863.88	3867.87	3875.38	3886.63	3898.65	3907.68	3913.23	3920.23	3927.39	3937.23	3949.79	3965.44
3618.98	3618.16	3619.25	3626.07	3636.52	3643.25	3647.07	3647.99	3654.91	3662.95	3673.41	3685.68	3696.93	3707.86	3716.88	3729.44	3739.22	3743.07	3744.04	3743.9	3743.9	3743.91	3745.27	3746.02	3749.42	3756.47	3763.28	3768.15	3773.37	3779.91	3787.89	3797.42	3804.29	3809.27	3813.25	3817.07	3822.74	3830.53	3836.26	3839.38	3841.92	3844.37	3849.38	3855.87	3860.51	3863.82	3865.83	3867.82	3868.77	3868.8	3868.73	3868.93	3867.74	3863.33	3856.96	3852.12	3850.66	3849.63	3849.82	3853.52	3856.9	3858.54	3860.71	3867.87	3878.02	3883.29	3882.24	3874.67	3864.08	3855.3	3848.59	3838.57	3828.7	3820.66	3816.25	3814.35	3809.48	3805.59	3802.18	3801	3801.18	3800.53	3798.91	3796.93	3795.39	3794.13	3794.71	3795.29	3796.21	3797.54	3799.2	3801.45	3805.62	3810.71	3814.29	3819.39	3822.36	3827.33	3832.85	3838.29	3843.97	3848.79	3855.49	3861.54	3864.49	3870.2	3878.82	3888.99	3900.16	3908.13	3915.99	3922.39	3929.46	3939.6	3954.53
