"PREC"	"EVAP"	"XAJ_test.Qsim...runif.1..0.8..1.2."
0.979	1.037	0.016
0.052	1.448	0.583
0.069	0.973	0.659
0	1.104	0.581
0.086	1.263	0.478
0.412	1.694	0.399
0	1.529	0.354
0.034	1.059	0.304
0.086	0.83	0.252
0	1.57	0.211
0.034	1.699	0.177
0	1.386	0.15
0	1.722	0.128
0	1.3	0.11
0.481	1.297	0.104
0.034	1.665	0.122
0.017	1.551	0.122
1.133	1.471	0.122
0	1.94	0.169
0	1.821	0.169
0.12	1.405	0.131
3.897	0.977	0.769
3.622	0.999	1.719
3.777	1.35	2.651
1.099	1.361	2.775
0	1.33	2.417
0.704	0.829	1.876
2.472	1.603	1.69
0.515	1.013	1.542
0.172	1.721	1.346
2.523	0.808	1.519
3.554	1.661	2.002
0.618	1.201	2.114
0.206	1.493	1.906
0.052	1.195	1.537
1.974	1.565	1.339
0.893	1.502	1.228
0.824	1.451	1.135
0.103	1.961	1.008
0	1.926	0.842
0.103	1.818	0.682
0.532	1.858	0.573
7.296	1.369	1.828
5.27	1.603	3.4
3.571	1.227	4.486
1.802	1.395	4.505
10.815	0.891	6.361
2.438	1.206	7.4
1.322	1.477	6.952
2.403	1.62	5.946
1.442	1.317	4.87
0.052	1.871	3.941
0.034	1.832	3.155
0.137	1.371	2.54
0.189	1.497	2.1
0.034	1.019	1.789
5.39	1.234	2.662
4.189	1.455	3.799
0.069	1.128	4.024
0.206	2.135	3.564
0.103	2.136	2.886
0	1.655	2.311
5.476	1.66	2.915
1.459	1.749	3.145
2.592	1.078	3.455
8.068	2.007	4.929
0.515	1.521	5.337
0	1.845	4.852
0	1.945	3.909
0	1.455	3.058
0.154	2.328	2.452
0.378	1.748	2.057
0.807	1.938	1.809
0	1.514	1.647
0	2.281	1.478
0.412	2.565	1.314
0.292	2.457	1.2
0.772	1.395	1.123
0.034	2.415	1.073
0.275	2.192	0.996
0.961	1.836	0.93
4.944	1.499	1.656
0.052	2.864	1.995
0	2.71	1.916
1.322	2.034	1.612
6.489	2.082	2.321
0.875	2.313	2.675
2.352	1.861	2.725
0	2.561	2.419
0.034	2.669	1.98
3.485	2.302	1.866
7.862	2.186	3.007
4.978	3.154	4.07
2.386	2.688	4.24
0.154	3.11	3.745
5.579	2.846	3.62
6.026	3.417	4.024
0.103	2.946	4.005
0.669	3.037	3.475
2.3	2.672	2.816
8.669	2.244	3.774
0.446	2.765	4.191
0.91	2.964	3.895
